Age,Birth_Place,College,Current_Team,Experience,Position,Last_Name,First_Name
27,"Haines City , FL",Florida State,Pittsburgh Steelers,5th season,ILB,Williams, Vince
29,"Gainesville , FL",Indiana (PA),,4 Seasons,,Owusu-Ansah, Akwasi
66,"Baltimore , MD",Cincinnati,,6 Seasons,,Johnson, Al
,"Davenport , IA",Iowa,,1 Season,,Mastrogany, Gus
53,"Houston , TX",Florida State,,10 Seasons,,Jax, Garth
54,"Danbury , CT",Boston College,,5 Seasons,,Radachowsky, George
,"Union City , NJ",Columbia,,1 Season,,Maack, Herb
35,"Chicago , IL",Michigan,,3 Seasons,,Pape, Tony
,"Port Angeles , WA",Washington State,,1 Season,,Godfrey, Herb
51,"Middletown , CT",Southern Connecticut State,,1 Season,,Atkinson, Ricky
57,"Riverside , NJ",Rutgers,,11 Seasons,,Cherry, Deron
26,"Miami , FL",Central Florida,Atlanta Falcons,5th season,SS,Ishmael, Kemal
26,"Cleveland , OH",Ashland,Cleveland Browns,3rd season,DE,Meder, Jamie
21,,Michigan State,Washington Redskins,Rookie,SAF,Nicholson, Montae
,"Bloomington , IN",Indiana,,2 Seasons,,Leonard, John
61,"Chicago , IL",Purdue,,1 Season,,May, Marc
55,"Saux City, Wi USA",No College,,1 Season,,Jensen, Greg
,"Haskell , OK",Ouachita Baptist,,1 Season,,Allen, Carl
29,"Houston , TX",Arizona,San Francisco 49ers,8th season,DT,Mitchell, Earl
59,"Cleveland , OH",Notre Dame,,14 Seasons,,Golic, Bob
52,"Denver , CO",Colorado,,10 Seasons,,Tate, David
46,"Miami , FL",Michigan,,8 Seasons,,Everitt, Steve
71,"Wellesley , MA",Colgate,,2 Seasons,,Ilg, Ray
49,"Detroit , MI",Bowling Green State,,2 Seasons,,Thornton, Reggie
22,"Dallas , TX",Texas,Cincinnati Bengals,Rookie,OG,Perkins, Kent
22,"Bakersfield , CA",USC,New York Jets,3rd season,NT,Williams, Leonard
47,"Houston , TX",Nevada-Las Vegas,,17 Seasons,,McCardell, Keenan
78,"Columbus , MS",LSU,,6 Seasons,,Richards, Bobby
72,"Mount Pleasant , FL",Northwestern,,5 Seasons,,Campbell, Woody
32,"Weston , CT",Buffalo,,5 Seasons,,Richard, Jamey
78,"Downey , CA",Stanford,,1 Season,,Norman, Dick
46,"Mobile , AL",LSU,,5 Seasons,,Marshall, Anthony
33,"Oakland , CA",Oregon,,1 Season,,Phillips, Blair
60,"Little Rock , AR",Oklahoma,,1 Season,,Tabor, Paul
,"Warrensburg , NY",Rochester,,2 Seasons,,Wallace, Gordon
23,"Baton Rouge , LA",Louisiana State University - Shreveport,Dallas Cowboys,3rd season,OG,Collins, La'el
50,"Dallas , TX",Texas A&M,,3 Seasons,,Harris, Rod
48,"Hurst , TX",Arkansas,,5 Seasons,,Foster, Barry
53,"St. Tammany , LA",Southern Mississippi,,1 Season,,Alexander, Vincent
53,Heidelberg Germany,USC,,7 Seasons,,FitzPatrick, James
36,"Vancouver , WA",Stanford,,4 Seasons,,Pierce, Brett
29,"Chesapeake , VA",Florida,Buffalo Bills,8th season,WR,Harvin, Percy
28,,Middle Tennessee State,,4 Seasons,,Tanner, Phillip
46,"Macon , GA",Tennessee State,,8 Seasons,,Tharpe, Larry
25,,Colorado,,1 Season,,Uzo-Diribe, Chidera
36,"Rochester , MI",Northern Arizona,,5 Seasons,,O'Neil, Keith
,"Portsmouth , VA",Richmond,,1 Season,,Ames, Dave
83,"Pittsburgh , PA",Pittsburgh,,1 Season,,Cenci, John
,"Winder , GA",Georgia,,1 Season,,Leathers, Milt
32,"El Sobrante , CA",Arkansas,,7 Seasons,,Garner, Nate
43,"Hartford , CT",Indiana,,3 Seasons,,Davis, Nathan
,"St. Augustine , TX",Texas A&M,,5 Seasons,,Allen, Grady
26,"Reynoldsburg , OH",Bowling Green State,,2 Seasons,,Bayer, Alex
43,"Opelousas , LA",Northwestern State-Louisiana,,4 Seasons,,Thibodeaux, Keith
26,"Fort Wayne , IN",Notre Dame,Cincinnati Bengals,5th season,TE,Eifert, Tyler
22,,Michigan,Cleveland Browns,Rookie,CB,Stribling, Channing
54,"Van , TX",Stephen F. Austin St.,,4 Seasons,,Fowler, Todd
60,"Cincinatti , OH",Oregon,,1 Season,,Beekley, Bruce
53,"Tulsa , OK",Oklahoma,,12 Seasons,,Casillas, Tony
26,"Santa Monica , CA",San Diego State,,1 Season,,Katz, Ryan
27,"Dumont , NJ",Boston College,Miami Dolphins,1st season,TE,Pantale, Chris
57,"Birmingham , AL",Tennessee-Chattanooga,,1 Season,,Carson, Malcolm
54,"Grand Rapids , MI",Temple,,7 Seasons,,Rienstra, John
24,,Virginia,Dallas Cowboys,1st season,C,Burbank, Ross
55,"Freeport , NY",Maryland,,14 Seasons,,Reich, Frank
53,"Claremore , OK",Tulsa,,2 Seasons,,Gage, Steve
24,"Fayetteville , AR",Arkansas,Jacksonville Jaguars,2nd season,QB,Allen, Brandon
,"Bridgeport , CT",Notre Dame,,1 Season,,Pivarnik, Joe
38,St. Ann's Jamaica,Wisconsin,,4 Seasons,,Knight, Roger
22,"Sylacauga , AL",Clemson,Indianapolis Colts,2nd season,FS,Green, T.J.
40,"San Francisco , CA",California-Davis,,1 Season,,Ojo, Onome
35,"Calrksville , TN",Texas,,2 Seasons,,Thomas, Sloan
,"Shreveport , LA",Albertson,,8 Seasons,,Owens, R.C.
55,"Bartow , FL",Murray State,,1 Season,,Lester, Keith
24,,South Carolina,Tampa Bay Buccaneers,1st season,DB,Johnson, Isaiah
43,"Wildwood , FL",Florida,,10 Seasons,,Johnson, Ellis
56,"Flint , MI",Saginaw Valley State,,11 Seasons,,Marve, Eugene
52,"New Orleans , LA",Utah State,,1 Season,,Young, Kevin
,"Baraboo , WI",Gonzaga,,4 Seasons,,Cahoon, Tiny
69,"Mobile , AL",Weber State,,4 Seasons,,Campbell, Carter
55,"Longview , TX",Baylor,,1 Season,,Hancock, Kevin
53,"Dayton , OH",Texas Southern,,1 Season,,Thomasson, Leon
60,"Bessemer , AL",Auburn,,8 Seasons,,McCall, Reese
64,"Chicago , IL",Northern Illinois,,3 Seasons,,Kellar, Mark
,"Johnson City , NY",Syracuse,,7 Seasons,,Chomyszak, Steve
42,"Burlington , VT",San Diego State,,1 Season,,Parker, Ricky
22,"McDonough , GA",Notre Dame,Los Angeles Chargers,Rookie,DT,Rochell, Isaac
32,"Toms River , NJ",Rutgers,Cincinnati Bengals,9th season,LS,Harris, Clark
25,"Baxley , GA",Florida State,Atlanta Falcons,4th season,RB,Freeman, Devonta
43,"Greenville , SC",North Carolina A&T,,4 Seasons,,Hamilton, Michael
44,"San Diego , CA",UCLA,,13 Seasons,,Edwards, Donnie
,"Forest , OH",Ohio State,,4 Seasons,,Karcher, Jim
77,Sudbury Canada,Villanova,,2 Seasons,,Ceppetelli, Gene
46,"Portsmouth , VA",North Carolina,,12 Seasons,,Walker, Bracy
35,,Memphis,,0 Season,,Ballard, Derrick
25,"San Bernardino , CA",Arkansas,Tennessee Titans,2nd season,OG,Tretola, Sebastian
77,"Broken Bow , OK",Oklahoma State,,7 Seasons,,Parker, Frank
35,"Saginaw , MI",Michigan,,3 Seasons,,Manning, Roy
45,"Indianapolis , IN",Indiana,,4 Seasons,,Watts, Damon
,"Chester , SC",South Carolina,,1 Season,,Hanna, Zip
45,"Fairfax , VA",Tennessee,,11 Seasons,,Garner, Charlie
23,"Detroit , MI",Michigan State,San Francisco 49ers,2nd season,WR,Burbridge, Aaron
22,"Merced , CA",Stanford,Philadelphia Eagles,1st season,DE,Shittu, Aziz
27,"Westlake , OH",Cincinnati,Kansas City Chiefs,5th season,TE,Kelce, Travis
39,,Northwestern,,1 Season,,Emmerich, Conrad
,"El Reno , OK",Oklahoma City,,2 Seasons,,Kamp, Jim
,"Bauxite , AR",Arkansas,,5 Seasons,,Campbell, Leon
,"Rockford , IL",No College,,2 Seasons,,Englund, Harry
53,"St. Louis , MO",North Carolina State,,1 Season,,Taylor, Derrick
47,"Stone Mountain , GA",Clemson,,16 Seasons,,Gardocki, Chris
,,,,,,Ward, null
22,"Bellwood , IL",Florida,Indianapolis Colts,2nd season,ILB,Morrison, Antonio
58,"Green Bay , WI",Notre Dame,,1 Season,,Knafelc, Greg
57,"Richmond , CA",Georgia Tech,,8 Seasons,,Utt, Ben
28,,Tennessee State,,1 Season,,Tarver, Sidney
28,"Tampa , FL",South Florida,Washington Redskins,7th season,DT,McClain, Terrell
,"Columbia , GA",Alabama,,2 Seasons,,Kirkland, Bo
24,"Houston , TX",California,New Orleans Saints,2nd season,RB,Lasco, Daniel
44,"Macon , AL",No College,,4 Seasons,,Chancey, Robert
31,"Monrovia , CA",Boise State,,2 Seasons,,Johnson, Ian
,"Dallas , TX",Texas,,3 Seasons,,Layden, Pete
82,"El Paso , TX",Austin,,6 Seasons,,Babb, Gene
,"Sunnyside , GA",Mississippi,,1 Season,,Barfield, Ken
,"Victoria , B.C.",USC,,1 Season,,Lansdell, Grenny
,"Eagle Butte , SD",Oregon,,12 Seasons,,Van Brocklin, Norm
,"Channing , TX",Texas Tech,,4 Seasons,,Schlinkman, Walt
,"Springfield , OH",Loras,,2 Seasons,,Hanlon, Bob
29,"Little Rock , AK",Northern Iowa,,1 Season,,Scott, Quentin
21,"Charlotte , NC",North Carolina,Oakland Raiders,Rookie,RB,Hood, Elijah
58,"Bay Shore , NY",Maryland,,14 Seasons,,Tice, Mike
73,Lithuania,Notre Dame,,3 Seasons,,Vasys, Arunas
24,"Lithonia , GA",Central Florida,Miami Dolphins,2nd season,RB,Johnson, Storm
33,"Durham , NC",Wake Forest,,2 Seasons,,Gattis, Josh
61,"Berkeley , CA",California-Davis,,3 Seasons,,Martini, Rich
102,,Centenary,,1 Season,,May, Jack
24,"Moultrie , GA",Florida State,Cleveland Browns,3rd season,C,Erving, Cameron
,"Redondo Beach , CA",Arizona,,1 Season,,Nielsen, Walt
73,"Santa Ana , CA",Los Angeles State,,1 Season,,Davis, Don
,"Lansford , PA",Boston College,,4 Seasons,,Repko, Joe
,"Pendleton , OR",Oregon,,8 Seasons,,Christensen, George
53,"Houston , TX",Western Kentucky,,1 Season,,Johnson, Mark
73,"Fort Bragg , CA",California-Santa Barbara,,1 Season,,Franci, Jason
,"Lowell , MA",Fordham,,4 Seasons,,Riddick, Ray
35,"Dallas , TX",Baylor,,2 Seasons,,Evans, Jonathan
68,"Kingston , NC",Duke,,2 Seasons,,Hart, Leo
32,"Rochester , NY",Virginia,Jacksonville Jaguars,10th season,OT,Albert, Branden
46,"Seattle , WA",Washington State,,1 Season,,Hall, Ray
23,"Michigan , MI",Utah,Cincinnati Bengals,Rookie,C,Dielman, J.J
,"Wichita , KS",Wichita State,,1 Season,,Sexton, Lin
28,"Houston , TX",Rice,,4 Seasons,,Ozougwu, Cheta
,"Wellsboro , PA",Fordham,,1 Season,,Walbridge, Larry
45,"Canton , OH",Louisville,,2 Seasons,,Patrick, Garin
22,"Rialto , CA",Brigham Young,Green Bay Packers,Rookie,RB,Williams, Jamaal
,La Ceiba Honduras,LSU,,8 Seasons,,Van Buren, Steve
69,"Wichita , KS",Nebraska-Omaha,,1 Season,,Sayers, Ron
,"Sequim , WA",Washington,,4 Seasons,,Ward, Bill
22,"Oklahoma City , OK",Oklahoma State,Dallas Cowboys,Rookie,TE,Jarwin, Blake
35,"New Orleans , LA",Nicholls State,,2 Seasons,,Thompson, Chris
41,"Norfolk , NE",Nebraska,,2 Seasons,,Lafleur, Bill
66,"Phenix City , AL",Eastern Kentucky,,7 Seasons,,Chambers, Wally
59,"Fort Collins , CO",Colorado,,4 Seasons,,Johnson, Jesse
50,"Sacramento , CA",USC,,9 Seasons,,Galbraith, Scott
,"Diamond Springs , CA",U. of Pacific,,4 Seasons,,Martinovich, Phil
23,"San Francisco , CA",California,Green Bay Packers,2nd season,WR,Davis, Trevor
28,"Grenada , MS",Arkansas State,,4 Seasons,,Jennings, M.D.
,"Sheboygan , WI",Wisconsin,,4 Seasons,,Dittrich, John
28,"Elyria , OH",Toledo,,2 Seasons,,Noble, Danny
60,"Philadelphia , PA",West Chester,,5 Seasons,,Senser, Joe
25,"Columbus , GA",Georgia State,Arizona Cardinals,4th season,OT,John, Ulrick
23,"Oneida , NY",Syracuse,Denver Broncos,2nd season,P,Dixon, Riley
58,"Monterey Park , CA",Washington,,9 Seasons,,Lansford, Mike
46,"Brookfield , WI",Wisconsin,,7 Seasons,,Panos, Joe
79,"Elizabeth , NJ",Army,,1 Season,,Anderson, Bob
66,Trieste Italy,William & Mary,,5 Seasons,,Knight, David
44,"Woodland Hills , CA",Utah,,8 Seasons,,Anderson, Jamal
55,"Lancaster , PA",Franklin & Marshall,,1 Season,,Caterbone, Mike
28,,Iowa,,3 Seasons,,Zusevics, Markus
89,"Wheeling , WV",Notre Dame,,1 Season,,Gompers, Bill
49,"Gaffney , SC",Carson-Newman,,1 Season,,Hardy, Robert
83,"Bismarck , ND",Oregon,,7 Seasons,,Patera, Jack
81,"Austin , TX",Colorado State,,8 Seasons,,Keys, Brady
,"Youngstown , OH",North Carolina State,,2 Seasons,,Farrar, Vinnie
44,"Suffolk , VA",Nevada-Las Vegas,,3 Seasons,,Bailey, Henry
77,"Fairfax , AL",Clemson,,5 Seasons,,Barnes, Gary
34,"Amite , LA",Jackson State,,6 Seasons,,Gordon, Cletis
24,,Washington State,Philadelphia Eagles,Rookie,WR,Williams, Dom
46,"Collegeville , PA",Tulsa,,8 Seasons,,Ostroski, Jerry
29,"Lancaster , PA",Penn State,Jacksonville Jaguars,8th season,DE,Odrick, Jared
30,"Alexandria , LA",Oklahoma,,2 Seasons,,Harris, Nic
62,"Crowley , LA",Grambling State,,4 Seasons,,Pennywell, Robert
54,"Clarksville , IN",Purdue,,3 Seasons,,King, Bruce
,"Hebron , WI",Lawrence,,1 Season,,Owens, Rip
59,"Rockford , IL",Wisconsin,,3 Seasons,,Matthews, Ira
35,,Penn State,,2 Seasons,,Rice, Matthew
,"Louise , MS",Southern Illinois,,12 Seasons,,Antwine, Houston
29,"Greenville , SC",Missouri,Atlanta Falcons,7th season,OLB,Weatherspoon, Sean
32,,San Diego State,,1 Season,,Kahui, Kurt
23,,Mississippi,Pittsburgh Steelers,1st season,DB,Hilton, Mike
34,,USC,,1 Season,,Walker, John
,"Cleveland , OH",Samford,,1 Season,,Schenker, Nate
,"Riley , KS",Kansas State,,3 Seasons,,Hanson, Homer
,"Wendel , PA",Carnegie Mellon,,1 Season,,Kavel, George
61,"Chattanooga , TN",Oklahoma,,2 Seasons,,Mathis, Reggie
28,,Florida,,1 Season,,Lemmens, Duke
51,"Toccoa , GA",Georgia Tech,,1 Season,,Harrison, Anthony
26,"Sumter , SC",Presbyterian,Arizona Cardinals,6th season,CB,Bethel, Justin
49,"Augusta , GA",Georgia Tech,,1 Season,,Mays, Jerry
48,"Vancouver , WA",Washington,,5 Seasons,,Pahukoa, Jeff
31,"Baytown , TX",Iowa,,8 Seasons,,Godfrey, Charles
23,"Milwaukee , WI",Minnesota,Kansas City Chiefs,2nd season,CB,Murray, Eric
,"Logansport , IN",Illinois,,1 Season,,Hall, Dick
28,"Northridge , CA",Oregon,,5 Seasons,,Matthews, Casey
,"Tampa , FL",Bethune-Cookman,,4 Seasons,,Samuels, Tony
64,"Anderson , SC",Cincinnati,,3 Seasons,,Gaines, Wentford
26,"Cincinnati , OH",Cincinnati,,3 Seasons,,Schaffer, J.K.
26,"Mont Saint Hilaire , Quebec",McGill (Canada),Kansas City Chiefs,4th season,OG,Duvernay-Tardif, Laurent
46,"San Antonio , TX",Texas A&M,,1 Season,,Teichelman, Lance
32,,Florida A&M,,0 Season,,Kiser, Roosevelt
71,"Boston , MA",Vanderbilt,,1 Season,,Goodridge, Bob
26,"Oklahoma City , OK",Oklahoma State,Jacksonville Jaguars,3rd season,DB,Patmon, Tyler
,"Beaver Falls , PA",Pittsburgh,,3 Seasons,,Walton, Frank
23,,Purdue,New England Patriots,Rookie,OG,King, Jason
39,"Sturgeon Bay , WI",Wisconsin,,10 Seasons,,Rabach, Casey
24,"San Bernardino , CA",San Diego State,Atlanta Falcons,Rookie,CB,Kazee, Damontae
21,"Long Beach , CA",Boise State,Tampa Bay Buccaneers,Rookie,RB,McNichols, Jeremy
26,"Buffalo Grove , IL",Northern Illinois,,0 Season,,Baxter, Alan
,"Wawaset , PA",No College,,1 Season,,Seeds, Frank
,"Clay Center , KS",Kansas State,,1 Season,,Hahn, Ray
46,"Orchard Lake , MI",Illinois,,2 Seasons,,Johnson, Filmel
62,"Memphis , TN",Tennessee State,,9 Seasons,,Wheeler, Dwight
58,"Greensboro , NC",Elon,,3 Seasons,,Hackett, Joey
44,"Huntington , NY",Indiana,,1 Season,,Paci, John
30,"Daytona Beach , FL",Cincinnati,,3 Seasons,,Gilyard, Mardy
,"Sacramento , CA",St. Mary's (CA),,1 Season,,Giannoni, Jack
34,"Bronx , NY",Virginia,,11 Seasons,,Canty, Chris
,"Hope , RI",Oregon State,,3 Seasons,,Franklin, Red
56,"Abingdon , VA",Tennessee,,2 Seasons,,Knight, Steve
46,"Fort Wayne , IN",Texas A&M,,4 Seasons,,England, Eric
,"Ventura , CA",San Jose State,,5 Seasons,,Titchenal, Bob
33,"Melbourne , FL",Florida,Oakland Raiders,11th season,FS,Nelson, Reggie
62,"Gary , IN",Oklahoma State,,11 Seasons,,Baker, Ron
,"Panguitch , UT",California,,2 Seasons,,Imlay, Tut
,"Chicago , IL",Montana,,5 Seasons,,Forte, Aldo
39,"Salt Lake City , UT",Colorado,,4 Seasons,,Liddiard, Brody
48,"Wichita , KS",Pittsburg State,,15 Seasons,,Gammon, Kendall
24,"Omaha , NE",Nebraska,Denver Broncos,2nd season,FB,Janovich, Andy
25,"Arlington , TX",Stanford,Arizona Cardinals,5th season,RB,Taylor, Stepfan
44,"Kansas City , MO",Washington,,6 Seasons,,Kaufman, Napoleon
,"New York , NY",Dayton,,2 Seasons,,Knorr, Larry
27,Luputa Congo,Eastern Michigan,Oakland Raiders,3rd season,LB,Mulumba, Andy
32,"Clearwater , FL",Iowa,,5 Seasons,,Paschal, Marcus
,"Jasper , TX",Prairie View A&M,,10 Seasons,,Adams, Sam
38,"Bay Village , OH",Ohio U.,,14 Seasons,,Zastudil, Dave
33,"Amory , MS",Memphis,,0 Season,,West, Marcus
24,,Iowa,,0 Season,,Hamilton, Ray
29,,Arkansas,,1 Season,,Leon, Anthony
47,"Jacksonville , FL",Florida A&M,,6 Seasons,,Fann, Chad
28,"Matteson , IL",Illinois,,6 Seasons,,Asamoah, Jon
68,"Greenville , TX",Houston,,6 Seasons,,Thomas, Earl
71,"East Orange , NJ",Texas A&M-Commerce,,2 Seasons,,Johnson, Jay
35,"New Orleans , LA",Michigan,,3 Seasons,,Bellamy, Ronald
23,"Raleigh , MS",Mississippi,Indianapolis Colts,4th season,WR,Moncrief, Donte
53,"Los Angeles , CA",Long Beach State,,1 Season,,Hampton, Kwante
32,"Gary , IN",Jackson State,,5 Seasons,,Johnson, Jaymar
72,"Miami , FL",Southern University,,1 Season,,Nairn, Harvey
52,"Pittsburgh , PA",Iowa,,3 Seasons,,Gambol, Chris
35,"Goldsboro , NC",North Carolina,Pittsburgh Steelers,13th season,LS,Warren, Greg
24,,Oklahoma,Jacksonville Jaguars,1st season,OG,Kasitati, Nila
,"Detroit , MI",San Francisco,,1 Season,,Sabuco, Tino
,"Whitesville , WV",Notre Dame,,4 Seasons,,Zontini, Lou
,"North Braddock , PA",Florida,,1 Season,,Goff, Clark
60,Santa Cruz Bolivia,Southeastern Louisiana,,1 Season,,Alvarez, Wilson
27,"Fort Washington , MD",New Mexico,,2 Seasons,,Thomas, Lamaar
24,"Lauderdale Lakes , FL",Florida,Houston Texans,4th season,DB,Roberson, Marcus
54,"Jacksonville , FL",Vanderbilt,,2 Seasons,,Scott, Chuck
,"Belmond , IA",Washington State,,5 Seasons,,Farman, Dick
62,"Fort Worth , TX",Baylor,,5 Seasons,,Nelms, Mike
24,"Laie , HI",Washington,New Orleans Saints,3rd season,OLB,Kikaha, Hau'oli
23,"Brandon , MS",Mississippi State,Pittsburgh Steelers,Rookie,DT,Adams, Nelson
33,"Santa Ana , CA",Utah,Carolina Panthers,11th season,DE,Soliai, Paul
37,"Sulphur Springs , TX",Notre Dame,,2 Seasons,,Harrison, Tyreo
,"Metcalf , AZ",Vanderbilt,,8 Seasons,,Plasman, Dick
55,"Miami , FL",Oklahoma,,2 Seasons,,Rhymes, Buster
,"Alhambra , CA",Rancho Santiago Coll. CA (J.C.),,7 Seasons,,Allen, Duane
27,"Greenlawn , NY",Boston College,Arizona Cardinals,3rd season,TE,Momah, Ifeanyi
29,,No College,,1 Season,,Aiyegbusi, Babatunde
52,"Lynwood , CA",Nevada-Las Vegas,,1 Season,,Knight, Suge
51,"Everett , WA",Washington,,17 Seasons,,Chandler, Chris
27,"Boca Raton , FL",Georgia,Seattle Seahawks,6th season,K,Walsh, Blair
25,"Altamonte Springs , FL",Central Florida,Jacksonville Jaguars,4th season,QB,Bortles, Blake
37,"Paterson , NJ",Virginia Tech,,8 Seasons,,Davis, Anthony
,"South Amboy , NJ",Temple,,1 Season,,Grace, Les
26,"Indianapolis , IN",Illinois State,,1 Season,,Walker, Ty
47,"Pascagoula , MS",Florida,,14 Seasons,,Matthews, Shane
74,"St. Peter , MN",Iowa State,,3 Seasons,,Kasperek, Dick
,"Abilene , TX",Hardin-Simmons,,1 Season,,Pittman, Swede
50,"Oakville , Ontario",Michigan State,,7 Seasons,,Mandarich, Tony
,"Oklahoma City , OK",Langston,,5 Seasons,,Payne, Ken
71,"Greenwood , SC",South Carolina State,,11 Seasons,,Gilliam, John
77,"Minneapolis , MN",Minnesota,,13 Seasons,,Larson, Greg
40,"Dallas , TX",Southern Methodist,,5 Seasons,,Rhinehart, Coby
55,"Hanford , CA",UCLA,,10 Seasons,,Young, Mike
49,"Toms River , NJ",Penn State,,2 Seasons,,Giannetti, Frank
31,Panama City Panama,San Diego State,,4 Seasons,,Wallace, Roberto
36,,The Citadel,,1 Season,,Dawson, Lew
24,"Bastrop , TX",Florida,San Francisco 49ers,3rd season,OT,Brown, Trent
52,"Ruston , LA",Grambling State,,1 Season,,Anderson, Anthony
,,Houston,San Francisco 49ers,Rookie,RB,McCloskey, Tyler
64,"Memphis , TN",Memphis,,7 Seasons,,Taylor, Ed
43,"Kansas City , MO",Kansas State,,3 Seasons,,Johnson, Jason
29,"Los Angeles , CA",Utah State,,5 Seasons,,Marsh, Curtis
43,"Aurora , CO",Eastern Michigan,,5 Seasons,,Adams, Vashone
76,"Madison , WI",Wisconsin,,17 Seasons,,Bakken, Jim
26,"Pollok , TX",Miami (Fla.),,3 Seasons,,Ford, Chase
26,"Waterbury , CT",Southern Connecticut State,Tennessee Titans,2nd season,TE,Cunningham, Jerome
,"St. Paul , MN",Minnesota,,4 Seasons,,Tierney, Festus
,"Tulane , CA",Fresno State,,1 Season,,Handley, Dick
30,"San Bernardino , CA",USC,Buffalo Bills,7th season,DB,Wright, Shareece
25,"Southwest Ranches , FL",Miami (Fla.),Jacksonville Jaguars,4th season,C,Linder, Brandon
65,"Louisville , KY",Florida,,3 Seasons,,Parker, Joel
55,"Marysville , CA",Brigham Young,,5 Seasons,,Ehin, Chuck
,"Townsend , TN",William & Mary,,6 Seasons,,Ramsey, Buster
74,"Anquilla , MS",Tennessee State,,1 Season,,Walker, Willie
34,"San Diego , CA",USC,,6 Seasons,,Tatupu, Lofa
69,"Pittsburgh , PA",Cincinnati,,1 Season,,Taylor, Jesse
31,"Detroit , MI",Ohio State,,4 Seasons,,Gholston, Vernon
,"Boston , MA",Boston College,,2 Seasons,,McCarthy, Brendan
,"Louisville , KY",Purdue,,1 Season,,Quast, John
,"Niagara Falls , NY",Niagara,,1 Season,,DeSantis, Dan
60,"Farrell , PA",California (PA),,4 Seasons,,Flint, Judson
27,,Arizona,,1 Season,,Quinn, Kyle
,"Floresville , TX",Texas A&M - Kingsville,,9 Seasons,,Janik, Tom
33,"Cleveland , OH",Ohio Northern,New Orleans Saints,10th season,LB,Trusnik, Jason
38,"Arcadia , CA",Arizona State,,6 Seasons,,Peters, Scott
27,"San Jose , CA",Regina (Canada),Chicago Bears,6th season,DE,Hicks, Akiem
,"Itasca , TX",Texas Tech,,1 Season,,Webb, George
48,"Amityville , NY",Syracuse,,6 Seasons,,Carpenter, Rob
69,"Midland , MI",Colorado,,5 Seasons,,Anderson, Bobby
30,,Wisconsin,,1 Season,,Kemp, Andy
74,"Houston , TX",Prairie View A&M,,11 Seasons,,Taylor, Otis
,"Hutchinson , KS",Dubuque,,3 Seasons,,Armstrong, John
34,,Michigan State,,1 Season,,Randall, Jason
,"Ballinger , TX",Baylor,,1 Season,,Kirk, George
49,"New Orleans , LA",Oregon State,,3 Seasons,,Taylor, Brian
25,"Eden Prairie , MN",Oklahoma,Miami Dolphins,5th season,WR,Stills, Kenny
33,"Laurinburg , NC",North Carolina,,0 Season,,Watkins, Jacoby
,"South Weymouth , MA",Brown,,1 Season,,Talbot, John
25,,Robert Morris,,1 Season,,Dalton, A.J.
30,"Birmingham , AL",Alabama,Cincinnati Bengals,9th season,T,Smith, Andre
58,"Philadelphia , PA",Cincinnati,,1 Season,,Harvin, Allen
28,,Marshall,,1 Season,,Hall, Ashton
51,"Mobile , AL",Auburn,,5 Seasons,,Tillman, Lawyer
32,"Avondale , LA",Southern Mississippi,,0 Season,,Batiste, George
48,"Cleveland , OH",Stanford,,11 Seasons,,Walsh, Chris
50,"Cleveland , OH",UCLA,,7 Seasons,,Ball, Eric
,"Harrisburg , PA",Penn State,,2 Seasons,,Killinger, Glenn
22,"Fayetteville , GA",Stetson,Baltimore Ravens,Rookie,LB,Payne, Donald
35,"Fontana , CA",San Diego State,,10 Seasons,,Farwell, Heath
33,"Key West , FL",Connecticut,,5 Seasons,,Fincher, Alfred
24,"Detroit , MI",Michigan State,New York Jets,2nd season,DE,Thomas, Lawrence
,"Cedar Rapids , IA",Michigan,,4 Seasons,,Jilek, Dan
45,"Atlanta , GA",Augusta State,,4 Seasons,,Kight, Danny
34,"Naperville , IL",Wisconsin,,10 Seasons,,Daniels, Owen
,"Stanton , NE",Nebraska,,1 Season,,DeWitz, Herb
58,"South Bend , IN",Missouri,,8 Seasons,,Fellows, Ron
,"Philadelphia , PA",Virginia,,3 Seasons,,Papit, Johnny
74,"Connellsville , PA",Ohio State,,6 Seasons,,Scott, Bo
,"Starkville , MS",Delta State,,2 Seasons,,Chesser, George
,"Firebaugh , CA",Fresno State,,2 Seasons,,Masini, Len
,"Manasquan , NJ",Delaware,,2 Seasons,,Thompson, Hal
52,Okinawa Kew Japan,Eastern Kentucky,,14 Seasons,,Jackson, John
,"Greenwood , SC",Clemson,,3 Seasons,,Adams, Gaines
29,"Macon , GA",Alabama,Houston Texans,8th season,CB,Jackson, Kareem
32,,Washington,,1 Season,,Reffett, Jordan
68,"Beaumont , TX",Houston,,5 Seasons,,Ford, Charlie
,"Irvington , NJ",Muhlenberg,,1 Season,,Zuzzio, Tony
26,"Kissimmee , FL",Iowa State,,1 Season,,Watson, Jansen
35,,Minnesota,,0 Season,,Hamilton, Paris
26,"Chicago , IL",Concordia-St. Paul,Carolina Panthers,3rd season,DE,Moore, Zach
24,"Wilmington , DE",Minnesota,Cleveland Browns,2nd season,SS,Boddy-Calhoun, Briean
30,"Houston , TX",Texas,Cincinnati Bengals,6th season,DB,Brown, Chykie
,"Fullerton , NE",Nebraska,,1 Season,,Zaruba, Carroll
75,"Shelby , NC",North Carolina A&T,,12 Seasons,,Phillips, Mel
26,"Wilkes Barre , PA",Colgate,,1 Season,,Eachus, Nate
