Age,Birth_Place,College,Current_Team,Experience,Position,Last_Name,First_Name
37,"Paterson , NJ",Ohio State,,1 Season,,Thompson, David
52,"Greensboro , NC",Clemson,,6 Seasons,,Hall, Delton
,"Pawhuska , OK",Oklahoma,,5 Seasons,,Campbell, Bill
,"Johnston City , IL",Illinois Wesleyan,,4 Seasons,,Kaska, Tony
,"Chicago , IL",Illinois,,8 Seasons,,Knop, Oscar
,"Cleveland , OH",Tulsa,,1 Season,,Reynolds, Homer
,"De Ridder , LA",Army,,5 Seasons,,Cagle, Chris
35,,Nebraska,,0 Season,,Erickson, Mike
28,"Laurinburg , NC",Virginia Tech,,4 Seasons,,Carmichael, Roc
,"Cape May , NJ",Indiana,,2 Seasons,,Anderson, Cliff
30,"New Milford , NJ",Stanford,San Francisco 49ers,8th season,TE,Dray, Jim
,,South Dakota,Indianapolis Colts,Rookie,DB,Graham, Tyson
27,"Riverside , CA",Brigham Young,Kansas City Chiefs,4th season,DB,Sorensen, Daniel
35,"Fort Pierce , FL",Kansas State,,5 Seasons,,Figurs, Yamon
,"Medford , WI",USC,,9 Seasons,,Pinckert, Ernie
82,"Landis , NC",Wake Forest,,9 Seasons,,Barnes, Billy
52,"San Diego , CA",Cincinnati,,1 Season,,Lathan, Greg
65,"Ypsilanti , MI",Eastern Michigan,,3 Seasons,,Fernandes, Ron
77,"Richmond , VA",Georgia,,18 Seasons,,Tarkenton, Fran
26,,Florida A&M,,1 Season,,Mays, Frances
,"Lewiston , NY",Manhattan,,1 Season,,Seick, Red
33,"Chicago , IL",Notre Dame,,5 Seasons,,Mays, Corey
45,"Elizabeth , NJ",Rutgers,,2 Seasons,,Catanho, Alcides
71,"Beloit , WI",Northern Arizona,,8 Seasons,,Tillman, Rusty
26,"Nichols Hills , OK",Oklahoma,Cleveland Browns,4th season,C,Ikard, Gabe
35,"Southfield , MI",Notre Dame,,5 Seasons,,Earl, Glenn
26,"Fort Lauderdale , FL",Florida Atlantic,,1 Season,,Carter, Duron
,"Shreveport , LA",LSU,,1 Season,,Leisk, Rube
30,"Fort Pierce , FL",Western Michigan,,7 Seasons,,Delmas, Louis
75,"Muenster , TX",Texas Tech,,10 Seasons,,Parks, Dave
,"Atchison , KS",Nebraska,,1 Season,,Bassett, Henry
51,"Seattle , WA",Washington State,,3 Seasons,,Utley, Mike
38,"Jacksonville , FL",Virginia Tech,,9 Seasons,,Lehr, Matt
65,"Houston , TX",Sam Houston State,,3 Seasons,,Dirden, Johnnie
24,"Pensacola , FL",Arizona State,Green Bay Packers,3rd season,CB,Randall, Damarious
,"Philadelphia , PA",No College,,2 Seasons,,Vaughan, Harp
24,"Winnipeg , Manitoba",Notre Dame,Detroit Lions,2nd season,WR,Jones, T.J.
,"San Francisco , CA",Oregon State,,1 Season,,Koeper, Rich
,,Texas Christian,,1 Season,,Olson, Jeff
25,"Fort Gordon , GA",Georgia,Jacksonville Jaguars,5th season,DT,Jones, Abry
,"Columbus , OH",No College,,3 Seasons,,Gaulke, Hal
23,"Miami , FL",Maryland,Cleveland Browns,Rookie,CB,Hill, Alvin
,"Albany , GA",Georgia,,1 Season,,Whire, Jodie
38,"San Jose , CA",Menlo College,,7 Seasons,,Jackson, Nate
28,"Forth Worth , TX",Oklahoma,,1 Season,,Washington, R.J.
72,"Vredenburgh , AL",Maryland East. Shore,,2 Seasons,,Denson, Moses
73,"Brooklyn , NY",Richmond,,1 Season,,Emelianchik, Pete
42,"Houston , TX",Iowa,,4 Seasons,,Gibson, Damon
